Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	0.22629964339412773	0.23299610835676238	1.0
4.0	0.2536310968401641	0.2827278634165948	1.0
5.0	0.28733378105210433	0.32359665656939096	1.0
6.0	0.29413058405727066	0.33504583562783063	1.0
7.0	0.29641407197524156	0.3461341877169504	1.0
8.0	0.3097005985514463	0.3563438096271133	1.0
9.0	0.3163135650302874	0.3669199522885141	1.0
10.0	0.31767942518307585	0.37006019690149283	1.0
11.0	0.32481248022777603	0.3974287950182321	1.0
12.0	0.3233983801299928	0.4005303832958139	1.0
13.0	0.32448026339830593	0.4458163118390377	1.0
14.0	0.3197121116149943	0.4376074304427808	1.0
15.0	0.3259467938516477	0.44980429297830227	1.0
