Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	0.38652748761978006	0.4866530124547758	1.0
4.0	0.3292295221917331	0.39091625506337385	1.0
5.0	0.43801110999980647	0.49387293431759083	1.0
6.0	0.3307245831707855	0.3650545270281731	1.0
7.0	0.33314412781440167	0.3626597944772862	1.0
8.0	0.33496840546835094	0.3644887758547545	1.0
9.0	0.33958518075394495	0.3645401664826406	1.0
10.0	0.33896919259515246	0.36521452795707743	1.0
11.0	0.3398969784082316	0.37094743950946907	1.0
12.0	0.3320232765477474	0.3758871139860305	1.0
13.0	0.3347394437607506	0.3921157916491515	1.0
14.0	0.3302402258626668	0.38666590349958846	1.0
15.0	0.34322132332927624	0.3962305683516416	1.0
