Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	0.9712593269910712	1.0	4.291917178585685
4.0	0.8970856065447038	1.0	3.536970102329521
5.0	0.887938040208056	1.0	3.0902667864417923
6.0	0.8778816292586048	1.0	2.9846662565619866
7.0	0.8563559523846652	1.0	2.889052961210943
8.0	0.8691061558653831	1.0	2.8062785797974827
9.0	0.862077853922661	1.0	2.725390085120491
10.0	0.8584533755399791	1.0	2.7022630598291344
11.0	0.8172847169085351	1.0	2.5161739977953155
12.0	0.8074253380451918	1.0	2.496689493993879
13.0	0.7278339862886394	1.0	2.243076292733431
14.0	0.7305911403092552	1.0	2.28515315425101
15.0	0.7246413583415283	1.0	2.2231890971486084
