Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	0.7942568477487842	1.0	2.054852172712953
4.0	0.8421996218559897	1.0	2.55809265295935
5.0	0.8868902901209367	1.0	2.0248123161107228
6.0	0.9059594079359599	1.0	2.739316803275323
7.0	0.9186133475164335	1.0	2.757405191389726
8.0	0.9190088355473334	1.0	2.743568708405142
9.0	0.9315439339113705	1.0	2.7431819369831225
10.0	0.928137208810572	1.0	2.7381167052520077
11.0	0.9162941759557693	1.0	2.6957997103912437
12.0	0.8833058229287604	1.0	2.6603731886301487
13.0	0.8536749880766373	1.0	2.5502670927743645
14.0	0.8540712353320243	1.0	2.586212000978939
15.0	0.8662161648888196	1.0	2.5237830694388346
