Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	0.30107728639967335	0.3915418626016537	1.0
4.0	0.3146275528267283	0.4125024679052707	1.0
5.0	0.319197164142832	0.41960292971532487	1.0
6.0	0.3632615235015485	0.44208830889050826	1.0
7.0	0.35942764220002865	0.432453247601661	1.0
8.0	0.3578754373423045	0.42704824128586116	1.0
9.0	0.3576920602500778	0.404943775196903	1.0
10.0	0.35729178049187316	0.4243159659543711	1.0
11.0	0.3831242032693674	0.4577988566690358	1.0
12.0	0.3750217394576188	0.43355832478905826	1.0
13.0	0.39069232358915484	0.41717876446171515	1.0
14.0	0.3672505509509264	0.4326442581198526	1.0
15.0	0.42580660201546106	0.4775384412962452	1.0
