Polydeg	TreeMesh	StructuredMesh	Fluxo
3.0	0.7689529911287747	1.0	2.554005319776952
4.0	0.7627288981431769	1.0	2.4242279205700306
5.0	0.7607124296281437	1.0	2.3832054763736736
6.0	0.8216944809357474	1.0	2.2619915068771235
7.0	0.8311364157706655	1.0	2.312388692987952
8.0	0.8380211009995632	1.0	2.3416558208715617
9.0	0.8833128996146463	1.0	2.4694786319749014
10.0	0.842041801769709	1.0	2.3567343212051917
11.0	0.8368832680295352	1.0	2.18436543786073
12.0	0.8649856732426494	1.0	2.306494750127416
13.0	0.936510572615709	1.0	2.3970539375135687
14.0	0.8488510919962086	1.0	2.311367783651428
15.0	0.8916697907285503	1.0	2.094072253713374
