Polydeg	StructuredMesh	Fluxo
   3.000000000000000   0.000000264228920   0.000000644412000
   4.000000000000000   0.000000272649285   0.000000695122000
   5.000000000000000   0.000000307738218   0.000000710152000
   6.000000000000000   0.000000342873386   0.000000792470000
   7.000000000000000   0.000000381910438   0.000000912850000
   8.000000000000000   0.000000422444734   0.000000993062000
   9.000000000000000   0.000000461290646   0.000001127350000
  10.000000000000000   0.000000499432453   0.000001254706000
  11.000000000000000   0.000000541899806   0.000001228766000
  12.000000000000000   0.000000605258073   0.000001256262000
  13.000000000000000   0.000000669622152   0.000001438754000
  14.000000000000000   0.000000712368932   0.000001642072000
  15.000000000000000   0.000000753391277   0.000001602656000
