Polydeg	StructuredMesh	Fluxo
   3.000000000000000   0.000000345609519   0.000000647804000
   4.000000000000000   0.000000366478131   0.000000650078000
   5.000000000000000   0.000000438797298   0.000000733382000
   6.000000000000000   0.000000511004129   0.000000825892000
   7.000000000000000   0.000000580815172   0.000000904874000
   8.000000000000000   0.000000654910627   0.000001037644000
   9.000000000000000   0.000000727346167   0.000001109422000
  10.000000000000000   0.000000817416309   0.000001170576000
  11.000000000000000   0.000000901389370   0.000001253710000
  12.000000000000000   0.000001018222970   0.000001430178000
  13.000000000000000   0.000001124300030   0.000001286112000
  14.000000000000000   0.000001179045620   0.000001633572000
  15.000000000000000   0.000001251266340   0.000001744904000
