Polydeg	StructuredMesh	Fluxo
   3.000000000000000   0.000000251218478   0.000000644412000
   4.000000000000000   0.000000272729820   0.000000695122000
   5.000000000000000   0.000000305742685   0.000000710152000
   6.000000000000000   0.000000343247415   0.000000792470000
   7.000000000000000   0.000000382739805   0.000000912850000
   8.000000000000000   0.000000420659848   0.000000993062000
   9.000000000000000   0.000000458591566   0.000001127350000
  10.000000000000000   0.000000498369408   0.000001254706000
  11.000000000000000   0.000000540307713   0.000001228766000
  12.000000000000000   0.000000603602920   0.000001256262000
  13.000000000000000   0.000000668726579   0.000001438754000
  14.000000000000000   0.000000711797180   0.000001642072000
  15.000000000000000   0.000000752838849   0.000001602656000

