Polydeg	StructuredMesh	Fluxo
   3.000000000000000   0.000000325635280   0.000000539628000
   4.000000000000000   0.000000354160126   0.000000621690000
   5.000000000000000   0.000000387099884   0.000000510696000
   6.000000000000000   0.000000428595579   0.000000581280000
   7.000000000000000   0.000000466954075   0.000000681164000
   8.000000000000000   0.000000512982622   0.000000845064000
   9.000000000000000   0.000000563083917   0.000000935602000
  10.000000000000000   0.000000618401781   0.000000998948000
  11.000000000000000   0.000000679728285   0.000001047386000
  12.000000000000000   0.000000783583172   0.000001127140000
  13.000000000000000   0.000000863575817   0.000001154322000
  14.000000000000000   0.000000907937047   0.000001101716000
  15.000000000000000   0.000000962637942   0.000001366270000
